direction,volume_regime,outcome,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,p_positive,mean_close30_bps,mean_avol,p_same_sign,p_same_ci_low,p_same_ci_high,excess_bps,excess_ci_low_bps,excess_ci_high_bps,excess_p_value
all (baseline),all,r_overnight,14958,1256,4.808004602820402,-0.19469530621480954,9.85472675481932,6.158401553616466,3.3334797063903077,9.343256089838825,1.9040194626082674,138.72267631224952,0.538307260328921,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_overnight,625,269,7.21494091562159,-13.710037264963958,28.1371679277413,7.2290898575855245,-4.047130230700247,19.60093561508551,-0.2470766668195786,171.77470080183906,0.5344,83.76765862563485,0.532590628736503,0.5344,0.4694526533114345,0.5955766192733017,2.4069363128011876,-17.043055137243435,22.081505490397618,0.8124
strong up,ordinary,r_overnight,391,201,2.8667665787613994,-13.061768047070482,19.442697180409606,5.442580772845318,-8.632118766298547,19.328051923259704,-1.0738098345457794,112.98691336079037,0.5268542199488491,58.77676526799194,-0.06075659172566303,0.5268542199488491,0.4524478523397832,0.6000112866817154,-1.9412380240590024,-17.567389916685045,13.633089772789678,0.7912
strong down,high,r_overnight,611,261,29.339437380256957,5.661879798694955,51.589739059167506,30.47568570292869,12.084714028468863,43.26718899526072,3.4722249973392416,176.39393083258366,0.6088379705400983,-85.50440385836389,0.5127481509754972,0.3911620294599018,0.32275110155544934,0.46088504620089077,24.531432777436553,2.777345075860496,45.4740501541689,0.0268
strong down,ordinary,r_overnight,347,195,18.011476397539415,-3.312286684600923,39.0012588950073,27.498758736583806,5.9495478343651875,39.84403806187586,2.1780458338589366,145.2245850149612,0.6080691642651297,-69.59671761367501,-0.042880227281773355,0.3919308357348703,0.3184708636639369,0.47091453005218065,13.203471794719015,-7.258747658439766,33.036390449559114,0.207
all (baseline),all,r_open30_next,14927,1255,2.5999304088977926,-0.09314587792856942,5.314129102963578,2.6656004264968836,0.6027664212125972,4.864525852224936,1.8174213758802003,92.31630751934249,0.5155100949324776,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_open30_next,624,268,-7.816482076039774,-19.803356871641082,4.3549016768953415,-7.615891279376674,-19.79536836080098,2.5844245348038974,-0.34348471631504396,107.30914482858789,0.4624,83.76765862563485,0.532590628736503,0.46314102564102566,0.40916030534351144,0.5178584754797442,-10.416412484937567,-21.879236095141266,1.119225847289589,0.08
strong up,ordinary,r_open30_next,390,200,4.587827943810373,-6.394731748499012,15.47789191030995,4.509938539826175,-7.523039307881785,16.097583095269208,1.179282416059584,88.26966603084134,0.5140664961636828,58.77676526799194,-0.06075659172566303,0.5153846153846153,0.4538778711816245,0.577322293476202,1.9878975349125805,-8.285209076366952,12.444395168792683,0.7076
strong down,high,r_open30_next,610,260,5.338967579756288,-6.793572079548429,18.109587269022782,3.067522763059438,-7.634457529159408,12.73009276872239,0.750911906703237,117.52022394560706,0.513911620294599,-85.50440385836389,0.5127481509754972,0.48360655737704916,0.425305120290647,0.5394559196452604,2.7390371708584946,-8.940618556824935,14.813403062270917,0.6562
strong down,ordinary,r_open30_next,346,194,3.654122900027265,-7.981718997246887,14.299523276709156,10.22007346722198,-6.499458378468326,16.98204754973398,0.5114503450952281,90.42379981344705,0.5446685878962536,-69.59671761367501,-0.042880227281773355,0.45375722543352603,0.3941176470588235,0.5170454545454546,1.0541924911294722,-10.332297695547433,11.655618511329266,0.8612
