direction,volume_regime,outcome,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,p_positive,mean_close30_bps,mean_avol,p_same_sign,p_same_ci_low,p_same_ci_high,excess_bps,excess_ci_low_bps,excess_ci_high_bps,excess_p_value
all (baseline),all,r_overnight,14958,1256,4.808004602820402,-0.19469530621480954,9.85472675481932,6.158401553616466,3.3334797063903077,9.343256089838825,1.9040194626082674,138.72267631224952,0.538307260328921,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_overnight,216,107,6.796109634582008,-23.85532087758723,37.7884986458461,7.536314956967383,-28.54352371135023,35.40647565804855,0.00839421219704014,152.332279180701,0.5370370370370371,108.19358192980681,0.6398501383093289,0.5370370370370371,0.42592592592592593,0.6462279599571558,1.9881050317616062,-28.842149230249543,32.05186420702132,0.8752
strong up,ordinary,r_overnight,55,41,2.6584936933192242,-29.031301330469613,37.44017200716235,0.0,-32.91555893150888,38.28133927550992,0.0017030061568552696,116.73673696108551,0.4727272727272727,75.71010753270095,-0.03557165712162661,0.4727272727272727,0.3283582089552239,0.625,-2.1495109095011773,-34.53667121027524,32.866544296090986,0.8928
strong down,high,r_overnight,191,84,19.238348205738202,-12.665561246655813,50.24693026908232,30.391504037972084,-19.390897684499198,63.093387522784596,2.0882086060780187,131.00130507422395,0.5863874345549738,-113.1660239816199,0.5499104932366707,0.41361256544502617,0.2840218423551757,0.5428603749191984,14.430343602917802,-17.930710186585113,45.60539751917773,0.3704
strong down,ordinary,r_overnight,46,33,49.63701277874874,-7.599894978788855,102.91586734164115,47.67695471377786,-9.340046016812487,79.01554404144973,1.5367128123917912,160.56290208793462,0.6304347826086957,-104.67604759858888,-0.001308636458107222,0.3695652173913043,0.19607843137254902,0.5681818181818182,44.829008175928344,-14.379243855699839,98.93804975925629,0.1448
all (baseline),all,r_open30_next,14927,1255,2.5999304088977926,-0.09314587792856942,5.314129102963578,2.6656004264968836,0.6027664212125972,4.864525852224936,1.8174213758802003,92.31630751934249,0.5155100949324776,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_open30_next,216,107,-8.04841756834279,-24.939836256779387,9.56852778464982,-11.688537017210955,-25.884383088869978,6.249482101158277,-0.6519739914174886,95.54242428122687,0.4537037037037037,108.19358192980681,0.6398501383093289,0.4537037037037037,0.375,0.5405474351902922,-10.648347977240583,-27.161031991698824,6.5933419845891175,0.237
strong up,ordinary,r_open30_next,54,40,0.9373026820228312,-26.48474058244869,27.026076885112378,12.952289776004822,-5.922139450799113,28.9370912341802,-0.010207705282087797,83.3096671124344,0.6,75.71010753270095,-0.03557165712162661,0.6111111111111112,0.4782608695652174,0.7407407407407407,-1.6626277268749616,-29.55865919186522,24.95076303286828,0.9048
strong down,high,r_open30_next,191,84,8.228222471067276,-13.05480793045446,30.950571153833536,3.402158610981143,-14.606917418749088,24.949395094855387,0.6733564952654022,134.83043597808782,0.5235602094240838,-113.1660239816199,0.5499104932366707,0.4712041884816754,0.36507738095238096,0.5714446589446587,5.628292062169484,-15.389177791440476,27.869144411863733,0.5854
strong down,ordinary,r_open30_next,46,33,9.821034403787333,-16.5470005154322,32.42419824465965,17.18153075239148,0.7763994821757825,57.833183395450405,0.46451443561337413,82.53580260309845,0.6304347826086957,-104.67604759858888,-0.001308636458107222,0.3695652173913043,0.23076923076923078,0.5,7.221103994889541,-19.109463019027753,31.127491803400517,0.565
all (baseline),all,r_session_next,14958,1256,3.8593446966732063,-2.9402370392298742,10.563103334308742,5.271811604811161,0.0,10.042709214469257,1.120729825123542,175.1654314697509,0.5167134643668939,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_session_next,216,107,1.5104566336408265,-43.2829755349422,43.618474403090154,10.792938735257884,-26.94807866370441,59.22619694751752,-0.2465537618584695,203.68697340826128,0.5138888888888888,108.19358192980681,0.6398501383093289,0.5138888888888888,0.41409691629955947,0.6157712438423645,-2.3488880630323803,-45.0516541777689,38.49423876069291,0.9212
strong up,ordinary,r_session_next,55,41,-18.03230972074928,-61.83789220274967,31.531607273400514,-17.78229391591557,-79.51818566790614,20.22244691607611,-0.35178431269485816,160.26996694170583,0.41818181818181815,75.71010753270095,-0.03557165712162661,0.41818181818181815,0.2793936837029894,0.5652173913043478,-21.891654417422487,-65.05865041819342,26.495159096831173,0.357
strong down,high,r_session_next,191,84,-0.7161248697451728,-38.60116165339466,37.173396961541776,10.061374383740773,-24.659590436366674,36.47922500567668,-0.4199058001073572,206.24177053804877,0.5287958115183246,-113.1660239816199,0.5499104932366707,0.4712041884816754,0.3595505617977528,0.5869600280504909,-4.575469566418379,-41.445938667153335,33.33352839609195,0.8156
strong down,ordinary,r_session_next,46,33,-20.22013905996207,-62.701566603236564,24.18270436261396,1.1677557306782882,-72.73660790689695,36.8112274243626,-0.6489258226377757,144.49492144340218,0.5,-104.67604759858888,-0.001308636458107222,0.5,0.34,0.6530612244897959,-24.079483756635277,-66.36688529125227,20.796528697861145,0.2916
all (baseline),all,r_next_close_to_close,14958,1256,8.55358175293402,0.447990606134084,16.65244374966845,9.983964771279608,3.8516844700087205,15.333074536917756,2.0783368919782403,218.30832271113312,0.5284128894237198,-0.15820243778962095,0.05698430807441153,,,,,,,
strong up,high,r_next_close_to_close,216,107,8.088362175353843,-38.875735546096195,57.081256449731576,8.26241260510896,-43.59252375400801,54.22295744876404,-0.2180619630452696,247.94203238711873,0.5138888888888888,108.19358192980681,0.6398501383093289,0.5138888888888888,0.41739040603665106,0.6094441038217862,-0.4652195775801775,-47.648016735901095,47.7558323892299,1.0
strong up,ordinary,r_next_close_to_close,55,41,-14.84722227880681,-75.45262502706682,58.02822794348771,-69.86289407038826,-118.15525346207556,13.171511901401978,-0.24135861284341292,225.7260184135256,0.36363636363636365,75.71010753270095,-0.03557165712162661,0.36363636363636365,0.23333333333333334,0.5102040816326531,-23.40080403174083,-82.83165650671775,48.51256881471128,0.4768
strong down,high,r_next_close_to_close,191,84,17.83471551124047,-26.858708398306998,61.13051169665673,23.285899094436235,-12.284491887999405,78.41355516957204,0.6421270060495003,214.76635023993137,0.581151832460733,-113.1660239816199,0.5499104932366707,0.418848167539267,0.3179150234995408,0.5228426395939086,9.28113375830645,-35.461005728737824,53.009436623196194,0.6666
strong down,ordinary,r_next_close_to_close,46,33,28.790275201141814,-30.201254036376188,83.8816477279998,-10.114458402950554,-46.6229808536843,64.21222922749232,0.7772676917002629,189.61064049190665,0.4782608695652174,-104.67604759858888,-0.001308636458107222,0.5217391304347826,0.3617021276595745,0.7000531914893608,20.23669344820779,-42.13658073356433,76.3717322012836,0.4892
