decile,n,n_dates,mean_bps,ci_low_bps,ci_high_bps,median_bps,median_ci_low_bps,median_ci_high_bps,t_stat_clustered,std_bps,mean_close30_bps,p_positive
1,1463,496,2.876242873820924,-4.685907540327912,10.735058482830848,2.4214377959519418,-5.94247228462777,8.890307285491783,0.5671231573861751,101.85816647824957,-69.35372205872127,0.5133287764866712
2,1464,672,3.155972226615545,-3.0802523827658694,9.25742800524515,1.5990113378061555,-3.3690231802582793,7.156900892505695,0.11835888862184005,93.82107561471403,-35.789382093734496,0.5088797814207651
3,1396,707,4.428494024833034,-1.0752278137655724,9.836559026654928,3.2306099950651923,-0.14795854498150796,6.9976973027784375,0.15178284058344066,91.52054519342879,-22.349728659050463,0.5279369627507163
4,1486,769,3.9514799619187078,-1.578253831125461,9.639926201385077,4.113227233697447,-0.40520280400357933,8.29663667113456,2.3644432458305307,94.56501669543978,-12.776654643361464,0.5235531628532974
5,1501,788,0.4201860878100982,-4.474412672854027,5.249338266891781,2.079866888520243,-1.2904846143072661,6.562218029695366,-0.3814379149817634,83.08809289812851,-4.447530371429439,0.519653564290473
6,1511,799,0.5475163339879825,-4.7186420430190985,5.753815180202734,2.1407546160023827,-1.758547427565746,6.308295408461451,-0.1339044184452245,87.96841912309806,3.6542217775589747,0.5162144275314361
7,1468,773,3.873254307650719,-1.166920175745519,8.847739626526362,2.2001884545330697,-1.3902405116095196,7.129369147174103,0.3374888198159012,84.15513077654573,11.940531306074574,0.5136239782016349
8,1437,740,2.2502611426063273,-3.225643874549758,7.736879367135226,3.243218199087128,-2.1576754224405663,7.9731037762653925,0.2496062173384976,87.96292389450905,20.650745561698177,0.5219206680584552
9,1449,641,6.206632219488505,-0.50348656359379,12.82227333342387,5.284338035038694,-1.5438008236573486,9.29037186281614,2.2421705119459747,95.35034330945587,32.127476757065025,0.52864044168392
10,1752,557,-0.8242988028996172,-8.049502968431842,6.460821919307132,-0.6665855203369375,-6.765334101075382,5.548529518868417,1.147904642121597,99.75493939939003,62.27183223264344,0.4965753424657534
