ticker,coef,se,t,p,ci_low,ci_high,n
AMZN,-0.29886862826059474,0.13751994273035256,-2.1732748161960243,0.02975963974531417,-0.5684027631680966,-0.029334493353092905,1242
NVDA,-0.22636250247364584,0.10326067559903963,-2.192146246966363,0.028368948324103357,-0.42874970766703746,-0.023975297280254187,1250
MSFT,-0.16507649913673147,0.10266555052410636,-1.6079054589783817,0.10785588608387149,-0.3662972806169572,0.03614428234349426,1250
IWM,-0.13260700115540203,0.08984328285140196,-1.475981252540938,0.13994892511309598,-0.30869659979699493,0.04348259748619088,1248
QQQ,-0.10639735316738565,0.10547627149481813,-1.0087325960570457,0.31310289469919617,-0.3131270465207979,0.10033234018602662,1251
TSLA,-0.09685825957611714,0.09883157492516373,-0.9800335535425718,0.3270695562621977,-0.2905645869648099,0.09684806781257564,1244
GOOGL,-0.08782886815046241,0.10634094822319529,-0.8259176697025635,0.40885079646180655,-0.2962532967497638,0.120595560448839,1231
META,-0.0859720138083675,0.13749002342073308,-0.625296379107338,0.531776556005447,-0.35544750794657287,0.18350348032983788,1249
AAPL,-0.07197810596945506,0.11700441076235676,-0.6151742955711906,0.5384396211422908,-0.301302537096005,0.1573463251570949,1243
JPM,-0.06955068223041218,0.10297995786893997,-0.6753807601953732,0.49943388599513183,-0.27138769078298663,0.1322863263221623,1252
XOM,-0.06816137655661449,0.1041111610601912,-0.6546980733142282,0.512662165985702,-0.2722155026232382,0.13589274951000918,1247
SPY,-0.038045701928236725,0.10347516775046381,-0.3676795385341735,0.7131121993178503,-0.24085330401338628,0.16476190015691283,1251
