decile,volume_regime,n,p_persistent,benchmark,excess_over_benchmark,ci_low,ci_high
1,high,834,0.4052757793764988,0.4617456896551724,-0.056469910278673596,0.37195568799654755,0.43859587075645
1,ordinary,631,0.40729001584786056,0.4617456896551724,-0.05445567380731181,0.36895334507413907,0.44562668662158206
2,high,519,0.41811175337186895,0.4617456896551724,-0.04363393628330342,0.3756753691403113,0.4605481376034266
2,ordinary,948,0.4409282700421941,0.4617456896551724,-0.020817419612978283,0.4093222623811965,0.4725342777031917
3,high,415,0.43855421686746987,0.4617456896551724,-0.023191472787702505,0.39081254969601953,0.4862958840389202
3,ordinary,984,0.45121951219512196,0.46182344231847483,-0.010603930123352867,0.42012728813685957,0.48231173625338436
4,high,351,0.4444444444444444,0.4632715026033991,-0.01882705815895469,0.39245980914380413,0.4964290797450847
4,ordinary,1134,0.4444444444444444,0.46370225932007536,-0.01925781487563094,0.4155228632803035,0.4733660256085853
5,high,359,0.415041782729805,0.47623757323984245,-0.06119579051003743,0.36407148386777843,0.4660120815918316
5,ordinary,1102,0.4537205081669691,0.47965787126854,-0.025937363101570854,0.42432595062698053,0.4831150657069577
6,high,336,0.5148809523809523,0.5159392959770115,-0.0010583435960591636,0.4614412526753062,0.5683206520865984
6,ordinary,1129,0.5066430469441984,0.5180598294187716,-0.011416782474573228,0.4774794712857855,0.5358066226026112
7,high,368,0.48097826086956524,0.535759464017991,-0.05478120314842577,0.429929211377476,0.5320273103616545
7,ordinary,1088,0.5238970588235294,0.5362150180654158,-0.01231795924188639,0.4942203978035217,0.5535737198435372
8,high,388,0.49742268041237114,0.5380571231781017,-0.04063444276573058,0.4476713792876186,0.5471739815371237
8,ordinary,1055,0.500473933649289,0.5382543103448276,-0.037780376695538576,0.47030224268466564,0.5306456246139125
9,high,417,0.5035971223021583,0.5382543103448276,-0.034657188042669373,0.4556075577783529,0.5515866868259637
9,ordinary,1035,0.4985507246376812,0.5382543103448276,-0.03970358570714644,0.46808902886607257,0.5290124204092899
10,high,910,0.5164835164835165,0.5382543103448276,-0.02177079386131109,0.48401449129453367,0.5489525416724994
10,ordinary,845,0.5112426035502958,0.5382543103448276,-0.027011706794531798,0.4775381021282935,0.5449471049722981
