decile,n,p_persistent,benchmark,excess_over_benchmark,ci_low,ci_high
1,1465,0.4061433447098976,0.4617456896551724,-0.05560234494527477,0.380994517122775,0.4312921722970202
2,1467,0.4328561690524881,0.4617456896551724,-0.028889520602684293,0.4075014135845623,0.45821092452041384
3,1399,0.4474624731951394,0.46180037773286337,-0.014337904537723989,0.42140655313231895,0.4735183932579598
4,1485,0.4444444444444444,0.46360044409613377,-0.019155999651689348,0.41917094772791347,0.46971794116097537
5,1461,0.44421629021218345,0.4788174284264438,-0.03460113821426036,0.4187373646218276,0.4696952158025393
6,1465,0.5085324232081911,0.5175734818171119,-0.009041058608920793,0.48293218426289364,0.5341326621534886
7,1456,0.5130494505494505,0.5360998780314513,-0.023050427482000813,0.4873752205540697,0.5387236805448313
8,1443,0.49965349965349964,0.5382012898176691,-0.03854779016416948,0.4738550976502025,0.5254519016567968
9,1452,0.5,0.5382543103448276,-0.038254310344827624,0.4742816698270076,0.5257183301729924
10,1755,0.513960113960114,0.5382543103448276,-0.02429419638471364,0.49057614776533703,0.5373440801548909
