bin,n,mean_predicted,observed,obs_ci_low,obs_ci_high
1,198,0.3245353547729281,0.25757575757575757,0.19666387231594026,0.31848764283557485
2,197,0.3679022744064117,0.36548223350253806,0.2982344480896224,0.4327300189154537
3,197,0.3887395597252451,0.41624365482233505,0.34740813784087904,0.48507917180379106
4,198,0.4129134113090708,0.4292929292929293,0.36034726338509393,0.49823859520076463
5,197,0.4443427020358371,0.4467005076142132,0.37727623835859003,0.5161247768698364
6,197,0.48449330010630737,0.5431472081218274,0.4735855579980166,0.6127088582456381
7,198,0.5103159727042383,0.5252525252525253,0.45569583919267376,0.5948092113123769
8,197,0.5331920349825254,0.5482233502538071,0.4787267414253068,0.6177199590823074
9,197,0.5616887568815474,0.5329949238578681,0.46332500650881464,0.6026648412069215
10,198,0.6071309695816351,0.5707070707070707,0.5017614047992354,0.6396527366149061
