cov,term,coef,se,t,p
two_way,r_close,-0.14368127801988476,0.0644906098071761,-2.227941066916332,0.025884445180195864
two_way,avol,9.602607239378429,5.9943925870384795,1.60193165528429,0.10917072355526988
two_way,r_close_x_avol,-0.006123920829269819,0.09580093543501923,-0.06392339282974549,0.9490312255840624
date,r_close,-0.14368127801988476,0.07214256685841919,-1.991629689332531,0.046411703369856346
date,avol,9.602607239378429,5.440663003788963,1.764970047343683,0.07756879984246975
date,r_close_x_avol,-0.006123920829269819,0.10205992140080075,-0.06000318974595812,0.9521530942199443
ticker,r_close,-0.14368127801988476,0.02394173888290535,-6.001288324235909,1.957580232263637e-09
ticker,avol,9.602607239378429,4.4026152005507555,2.181114360886495,0.029174958906714656
ticker,r_close_x_avol,-0.006123920829269819,0.06076021687736475,-0.10078833065441523,0.9197184904562865
hc1,r_close,-0.14368127801988476,0.040233295420052974,-3.5712033160542824,0.000355344911342156
hc1,avol,9.602607239378429,3.6126295184223967,2.6580658742919763,0.00785905298768026
hc1,r_close_x_avol,-0.006123920829269819,0.07021547038294104,-0.0872161191240504,0.9304997269712478
