spec,term,coef,se,t,p,n,r2
1: closing return only,r_close,-0.13234368383855025,0.06656714858513922,-1.9881230704854813,0.04679808042551259,14958,0.0020440287661265266
1: closing return only,avol,7.489314237647293,5.869765652616017,1.275913670302916,0.2019860380930939,14958,0.0020440287661265266
1: closing return only,r_close_x_avol,-0.0014633195257504209,0.0970026241924428,-0.015085360194455688,0.9879640805069645,14958,0.0020440287661265266
2: + ticker FE,r_close,-0.13368400361926497,0.06675407280957005,-2.0026344160397005,0.0452165429838827,14958,0.00313226199891814
2: + ticker FE,avol,7.00585815172102,5.7203044969922585,1.2247351789410348,0.22067501496778918,14958,0.00313226199891814
2: + ticker FE,r_close_x_avol,-0.0015817361728858426,0.09680752039808647,-0.01633898034348484,0.9869639598690821,14958,0.00313226199891814
3: + market & vol controls,r_close,-0.1466220445803612,0.06531609355367278,-2.2448073147527747,0.024780504992176218,14958,0.0034674848278726245
3: + market & vol controls,avol,8.35784400380543,5.657923518649369,1.4771928210511713,0.13962395761563678,14958,0.0034674848278726245
3: + market & vol controls,r_close_x_avol,-0.0038882567185801586,0.09554879203603048,-0.04069393904125901,0.9675398935392796,14958,0.0034674848278726245
4: + prev overnight,r_close,-0.14624941931590246,0.06518724701538373,-2.2435280827458266,0.024862781018971124,14945,0.003455135726953773
4: + prev overnight,avol,8.476861879807704,5.653651960394985,1.4993604026547611,0.13378016024804604,14945,0.003455135726953773
4: + prev overnight,r_close_x_avol,-0.004057719338555671,0.0955252918282867,-0.04247795804539076,0.9661176828192829,14945,0.003455135726953773
5: full (calendar controls),r_close,-0.14368127801988476,0.0644906098071761,-2.227941066916332,0.025884445180195864,14945,0.004803639729485276
5: full (calendar controls),avol,9.602607239378429,5.9943925870384795,1.60193165528429,0.10917072355526988,14945,0.004803639729485276
5: full (calendar controls),r_close_x_avol,-0.006123920829269819,0.09580093543501923,-0.06392339282974549,0.9490312255840624,14945,0.004803639729485276
