ticker,calendar_sessions,sessions_with_data,expected_bars,observed_bars,usable_sessions,event_eligible_sessions,auction_coverage,missing_bar_pct
AAPL,1316,1312,102288,101746,1303,1287,0.993161094224924,0.005298764273424017
AMZN,1316,1312,102288,101710,1302,1286,0.9924012158054711,0.005650711715939338
GOOGL,1316,1297,102288,100376,1285,1274,0.9810030395136778,0.01869231972469887
IWM,1316,1313,102288,101741,1304,1292,0.993920972644377,0.005347645862662231
JPM,1316,1315,102288,101899,1306,1294,0.993920972644377,0.0038029876427342346
META,1316,1314,102288,101749,1303,1292,0.993920972644377,0.005269435319881111
MSFT,1316,1315,102288,101786,1303,1290,0.9946808510638298,0.004907711559518191
NVDA,1316,1315,102288,101783,1303,1290,0.993161094224924,0.004937040513061208
QQQ,1316,1316,102288,101895,1307,1292,0.9954407294832827,0.0038420929141248505
SPY,1316,1316,102288,101897,1305,1292,0.9954407294832827,0.0038225402784295426
TSLA,1316,1316,102288,101803,1300,1283,0.9954407294832827,0.00474151415610824
XOM,1316,1315,102288,101882,1305,1289,0.6709726443768997,0.003969185046144186
